idx iface acct_tag_hex uid_tag_int cnt_set rx_bytes rx_packets tx_bytes tx_packets rx_tcp_bytes rx_tcp_packets rx_udp_bytes rx_udp_packets rx_other_bytes rx_other_packets tx_tcp_bytes tx_tcp_packets tx_udp_bytes tx_udp_packets tx_other_bytes tx_other_packets
125 wlan0 0x1000000000000000 10128 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
126 wlan0 0x1000000400000000 10128 0 838047 2730 650470 2799 838047 2730 0 0 0 0 650470 2799 0 0 0 0
127 wlan0 0x1000000400000000 10128 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
128 wlan0 0x1000009800000000 10036 0 472311 579 77739 662 472311 579 0 0 0 0 77739 662 0 0 0 0
129 wlan0 0x1000009800000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
130 wlan0 0x1000010000000000 10036 0 37980 73 14815 152 37980 73 0 0 0 0 14815 152 0 0 0 0
131 wlan0 0x1000010000000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
132 wlan0 0x1000010400000000 10036 0 138736 306 80163 441 138736 306 0 0 0 0 80163 441 0 0 0 0
133 wlan0 0x1000010400000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
134 wlan0 0x1000010500000000 10036 0 12376151 16629 3955349 44235 12376151 16629 0 0 0 0 3955349 44235 0 0 0 0
135 wlan0 0x1000010500000000 10036 1 2748 4 598 6 2748 4 0 0 0 0 598 6 0 0 0 0
136 wlan0 0x1000020000000000 10036 0 84612 169 50081 311 84612 169 0 0 0 0 50081 311 0 0 0 0
137 wlan0 0x1000020000000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
138 wlan0 0x1000040100000000 10036 0 20518897 63001 12126012 76563 20518897 63001 0 0 0 0 12126012 76563 0 0 0 0
139 wlan0 0x1000040100000000 10036 1 1644 36 2257 35 1644 36 0 0 0 0 2257 35 0 0 0 0
140 wlan0 0x1000040700000000 10036 0 1821329 9779 1338624 15000 1821329 9779 0 0 0 0 1338624 15000 0 0 0 0
141 wlan0 0x1000040700000000 10036 1 11022 132 13588 211 11022 132 0 0 0 0 13588 211 0 0 0 0
142 wlan0 0x1000040800000000 10036 0 637797 708 290679 806 637797 708 0 0 0 0 290679 806 0 0 0 0
143 wlan0 0x1000040800000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
144 wlan0 0x1000040b00000000 10036 0 212000 523 113201 811 212000 523 0 0 0 0 113201 811 0 0 0 0
145 wlan0 0x1000040b00000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
146 wlan0 0x1000060200000000 10036 0 358900 906 214368 1543 358900 906 0 0 0 0 214368 1543 0 0 0 0
147 wlan0 0x1000060200000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
148 wlan0 0x1000060800000000 10036 0 0 0 9660 161 0 0 0 0 0 0 9660 161 0 0 0 0
149 wlan0 0x1000060800000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
150 wlan0 0x10000c0100000000 10036 0 140518 310 109253 632 140518 310 0 0 0 0 109253 632 0 0 0 0
151 wlan0 0x10000c0100000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
152 wlan0 0x1000100200000000 10036 0 215705 258 34756 307 215705 258 0 0 0 0 34756 307 0 0 0 0
153 wlan0 0x1000100200000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
154 wlan0 0x1000100300000000 10036 0 235677 447 211120 669 235677 447 0 0 0 0 211120 669 0 0 0 0
155 wlan0 0x1000100300000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
156 wlan0 0x1000120300000000 10036 0 9725945 14027 8272570 18683 9725945 14027 0 0 0 0 8272570 18683 0 0 0 0
157 wlan0 0x1000120300000000 10036 1 3329 9 7030 12 3329 9 0 0 0 0 7030 12 0 0 0 0
158 wlan0 0x1000150400000000 10208 0 28009756 19804 4878371 81921 28009756 19804 0 0 0 0 4878371 81921 0 0 0 0
159 wlan0 0x1000150400000000 10208 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
160 wlan0 0x1000151900000000 10036 0 1064047 1610 340912 1937 1064047 1610 0 0 0 0 340912 1937 0 0 0 0
161 wlan0 0x1000151900000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
162 wlan0 0x1000160000000000 10036 0 8696189 6322 15554482 258961 8696189 6322 0 0 0 0 15554482 258961 0 0 0 0
163 wlan0 0x1000160000000000 10036 1 1878395 1341 23831 398 1878395 1341 0 0 0 0 23831 398 0 0 0 0
164 wlan0 0x1000180100000000 10036 0 770003 543 15390 278 770003 543 0 0 0 0 15390 278 0 0 0 0
165 wlan0 0x1000180100000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
166 wlan0 0x1000180300000000 10036 0 25085622 22136 2779411 17165 25085622 22136 0 0 0 0 2779411 17165 0 0 0 0
167 wlan0 0x1000180300000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
168 wlan0 0x1000180400000000 10036 0 3808982 5082 1218748 9491 3808982 5082 0 0 0 0 1218748 9491 0 0 0 0
169 wlan0 0x1000180400000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
170 wlan0 0x1000180600000000 10036 0 3212 7 2044 14 3212 7 0 0 0 0 2044 14 0 0 0 0
171 wlan0 0x1000180600000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
172 wlan0 0x1000190000000000 10036 0 219304 710 176352 682 219304 710 0 0 0 0 176352 682 0 0 0 0
173 wlan0 0x1000190000000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
174 wlan0 0x1000190300000000 10036 0 10172 24 5392 36 10172 24 0 0 0 0 5392 36 0 0 0 0
175 wlan0 0x1000190300000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
176 wlan0 0x10001b0000000000 10036 0 21228 46 9465 68 21228 46 0 0 0 0 9465 68 0 0 0 0
